CID,Brain,Kolb-X,Kolb-Y,Intelligence-1,Intelligence-2,Personality 
C202,BR,-4.0,7,Lin,Inter,SCOAI
C203,BR,-1.0,-3,Mu,Bo,SCUEN
C204,BL,-2.0,0,Intra,Intra,SCOAN
C205,BL,2.0,0,Mu,Intra,RLUAN
C206,BR,2.0,4,Mu,Lin,RCOAN
C207,BL,1.0,-3,Inter,Lin,RCOAI
C208,BR,1.0,3,Intra,Bo,RCUEN
C209,BL,-1.0,3,Na,Lo,SCOAI
C21,FL,3.0,5,Bo,Mu,SLUEN
C210,BR,-2.0,4,Intra,Lo,SCUAN
C211,BR,-3.0,1,Bo,Vi,SCOAN
C212,BR,1.0,5,Vi,Mu,RCOEN
C213,BL,-3.0,1,Inter,Intra,SCOAN
C214,BR,2.0,0,Inter,Mu,SCUAI
C215,BR,-2.0,-4,Mu,Vi,SCOEN
C216,BR,3.0,1,Mu,Lin,SCOAI
C217,BR,-2.0,-4,Inter,Bo,SCOAI
C218,BR,1.0,-5,Lo,Bo,SCUAI
C219,BR,2.0,4,Inter,Lo,SCOAN
C22,BL,0.0,1,Inter,Inter,SCOAN
C220,BL,-1.0,3,Lin,Lo,SCOAN
C221,BR,-2.0,-4,Bo,Bo,SCUAN
C222,BR,3.0,-1,Mu,Intra,SLUAI
C223,BR,1.0,-5,Inter,Mu,RCUEN
C224,BR,1.0,5,Inter,Mu,SLOAN
C225,BL,2.0,-4,Na,Inter,SLOAN
C226,BL,-1.0,3,Lo,Mu,SCOAN
C227,BR,1.0,3,Lo,Mu,SCOEN
C228,BR,-1.0,3,Mu,Vi,RLOAN
C229,FR,-2.0,4,Mu,Intra,RCOAN
C23,BR,5.0,-5,Inter,Inter,SCOEI
C230,FL,2.0,0,Lo,Intra,RLUEI
C231,BR,-1.0,-5,Na,Lo,SLUEN
C232,BR,-3.0,1,Inter,Intra,SCOAN
C233,BR,-2.0,0,Inter,Lin,SCUAI
C234,BR,-2.0,4,Lin,Inter,SCOAN
C235,BR,2.0,-4,Mu,Bo,SCOAI
C236,BR,1.0,5,Lo,Lin,SCOAN
C237,BR,-2.0,0,Intra,Mu,SCOEN
C238,BR,-1.0,3,Mu,Intra,SCOAI
C239,BR,-1.0,5,Na,Inter,SLUAN
C24,FL,5.0,-3,Lin,Intra,SLOAN
C240,BL,2.0,0,Bo,Bo,SCUEN
C241,BR,3.0,-1,Na,Bo,SCOAI
C242,BL,2.0,0,Mu,Vi,SLUAN
C243,FR,-2.0,0,Inter,Mu,SCOEI
C244,FR,-2.0,-4,Lo,Lin,SCOEN
C245,BR,-2.0,0,Lo,Inter,SCOAN
C246,BR,-3.0,1,Mu,Vi,SCOAN
C247,BL,3.0,1,Intra,Lo,SLOAI
C248,BL,-1.0,-3,Mu,Intra,SCUAN
C249,BL,-1.0,-3,Lo,Inter,SLOAN
C25,FR,-2.0,0,Na,Intra,SCOAI
C250,BR,-1.0,3,Intra,Mu,RLUAN
C251,BR,3.0,1,Inter,Lo,SCUAN
C252,BL,-1.0,5,Mu,Lo,SCOAN
C253,BR,-3.0,-1,Mu,Lo,SLOAI
C254,BR,-3.0,1,Mu,Lo,SCOEN
C255,BR,1.0,3,Na,Lo,RCOAI
C256,FL,1.0,-3,Mu,Lin,RLOAN
C257,BR,-1.0,-5,Mu,Inter,RLOAN
C258,FR,1.0,3,Vi,Intra,SCUAN
C259,BL,-3.0,-1,Lo,Mu,SCOAI
C26,BR,-7.0,2,Bo,Inter,RLUEI
C260,FR,-2.0,4,Lo,Lo,SCOAN
C261,FL,2.0,0,Na,Vi,SCOAI
C262,BR,2.0,0,Lin,Lo,RCOAN
C263,BL,3.0,-1,Lo,Lin,SLUAN
C264,BR,-2.0,-4,Mu,Inter,SCOAN
C265,FL,-2.0,0,Inter,Lo,SCOAI
C266,BR,2.0,4,Vi,Inter,SLOAN
C267,BL,1.0,5,Lo,Vi,SCOAN
C268,BR,-1.0,-3,Mu,Vi,SCOAI
C269,BR,-3.0,1,Lo,Lo,SCOAN
C27,BR,0.0,1,Bo,Mu,SCUAN
C270,BL,-2.0,-4,Inter,Vi,SCOAI
C271,FR,1.0,3,Bo,Lin,SCOAI
C272,FR,1.0,5,Na,Vi,SLOAI
C273,FL,-3.0,-1,Intra,Lo,RCUAN
C274,BR,-2.0,0,Lin,Lo,SCOAN
C275,BL,-2.0,0,Lin,Vi,SCOAI
C276,BR,-3.0,1,Vi,Vi,SCOAI
C277,BL,-1.0,3,Lo,Inter,RLOAI
C278,BR,-1.0,3,Mu,Inter,RLOAI
C279,BR,-1.0,-3,Mu,Lin,SCOEN
C28,BR,-10.0,-2,Lin,Bo,SCOEN
C280,BL,2.0,-4,Lo,Intra,SCOAN
C281,BR,-1.0,3,Mu,Lo,SLOAI
C282,BR,-1.0,-5,Mu,Vi,SCOAI
C283,BL,-3.0,1,Mu,Lin,SCUAI
C284,BL,1.0,3,Mu,Inter,SCOAN
C285,FR,1.0,-3,Lo,Vi,SCOAI
C286,BR,2.0,0,Lin,Vi,RLUEN
C287,BL,1.0,-3,Mu,Mu,RCOAN
C288,BL,2.0,0,Lo,Inter,SLOEN
C289,BL,-3.0,-1,Lin,Inter,SCOAN
C29,BR,2.0,-1,Lo,Bo,SLOAN
C290,BR,-1.0,-3,Mu,Inter,SCUAN
C291,BL,1.0,5,Lin,Lin,SLOAN
C292,BR,-2.0,0,Inter,Inter,SCOAN
C293,BR,-3.0,1,Mu,Lo,SLUAN
C294,BR,1.0,-5,Mu,Inter,RLOAN
C295,BR,-3.0,1,Mu,Lin,SLUAI
C296,BR,-2.0,0,Na,Inter,SLOAN
