CID,Brain,Kolb-X,Kolb-Y,Intelligence-1,Intelligence-2,Personality 
C894,BR,-4.0,5,Inter,Mu,SLUAN
C895,FL,0.0,3,Inter,Intra,SLOAN
C896,BR,0.0,-5,Inter,Lin,SLUAN
C897,BR,-8.0,5,Na,Vi,SLOAN
C898,FL,-2.0,6,Mu,Intra,SLUAN
C899,FL,0.0,3,Inter,Lin,SLUAI
C9,BR,2.0,4,Lo,Lin,SCOAN
C90,BR,-3.0,5,Mu,Lo,SLUAN
C900,FL,9.0,-3,Inter,Lin,SCOAN
C901,BR,0.0,-4,Lo,Lo,RLUEN
C902,FL,1.0,3,Inter,Intra,RLOAI
C903,FL,5.0,-2,Vi,Bo,SLOAN
C904,BR,-6.0,-2,Na,Vi,SCOAN
C905,FL,0.0,-4,Mu,Vi,RLUAI
C906,FL,1.0,3,Lin,Vi,RCOEI
C907,FR,5.0,-2,Mu,Vi,SLUAN
C908,FL,-6.0,-2,Na,Lin,SLOAN
C909,BR,-1.0,-5,Lin,Vi,SLUAN
C91,BL,7.0,5,Lo,Vi,SCOAN
C910,FL,-1.0,-4,Mu,Lo,SCOAN
C911,FR,-1.0,-7,Inter,Intra,RLUAN
C912,BL,-5.0,7,Bo,Vi,SLUAN
C913,FL,1.0,-1,Mu,Mu,RLOAI
C914,FL,1.0,1,Lo,Intra,SLOEN
C915,FL,-6.0,3,Mu,Intra,SLUAN
C916,BL,-7.0,-2,Lo,Intra,SCOAI
C917,BL,-1.0,-1,Intra,Intra,RLOAN
C918,FR,-4.0,5,Na,Bo,SLOAN
C919,BR,-5.0,12,Na,Bo,RCUAN
C92,BR,-4.0,0,Inter,Inter,SCOAN
C920,FL,-6.0,-1,Inter,Intra,SLUAN
C921,FL,-4.0,4,Mu,Bo,RLUAN
C922,BL,2.0,1,Lo,Bo,RLOEN
C923,BR,-4.0,-4,Lin,Lin,RLUEN
C924,FL,2.0,-4,Intra,Intra,RCOAN
C925,FL,-4.0,5,Mu,Lo,SLUEI
C926,BL,4.0,4,Inter,Vi,SLOEN
C927,BL,1.0,1,Lo,Intra,SLUEN
C928,FL,-1.0,5,Bo,Vi,SLUAN
C929,BL,9.0,8,Mu,Lin,SLOAN
C93,BL,5.0,2,Na,Intra,RCUEN
C930,BR,-8.0,-1,Lin,Inter,RLOAN
C931,FL,-5.0,0,Mu,Lo,SLUAN
C932,FL,9.0,2,Inter,Intra,SCOAN
C933,FL,-6.0,10,Lin,Lin,RCUEI
C934,BL,-6.0,2,Intra,Lin,SLOEN
C935,BL,2.0,1,Intra,Mu,RLUAN
C936,BL,-9.0,0,Inter,Intra,SCOAN
C937,FR,0.0,5,Mu,Mu,SLOAN
C938,BL,10.0,-6,Bo,Intra,SCOAI
C939,FR,-6.0,3,Inter,Mu,SCUAN
C94,BR,0.0,0,Na,Lo,RCOAN
C940,BL,2.0,-5,Intra,Bo,SCOAI
C941,BL,-4.0,-6,Vi,Bo,SCOAN
C942,FR,5.0,-3,Na,Lo,RCUAN
C943,BR,-3.0,-4,Intra,Mu,SLOAN
C944,FR,-1.0,5,Mu,Mu,SLUAI
C945,FL,-6.0,10,Vi,Mu,RLUEN
C946,FL,-1.0,-4,Mu,Vi,SLOAI
C947,BR,-3.0,-1,Lin,Lo,RCUEI
C948,FL,-2.0,8,Mu,Vi,SLUAN
C949,FL,3.0,4,Lo,Lo,SLUAN
C95,BL,1.0,6,Lo,Mu,SLOEI
C950,FL,3.0,0,Lo,Inter,SCOAN
C951,FL,-1.0,1,Lin,Bo,SLOAI
C952,BL,3.0,3,Lin,Lo,SLUAN
C953,BR,0.0,2,Mu,Lin,RLUAN
C954,FL,-1.0,6,Lin,Vi,RLUAN
C955,BL,1.0,6,Inter,Bo,SCUAN
C956,BL,-2.0,1,Mu,Intra,SLOAN
C957,FL,1.0,7,Lin,Lin,RLOAN
C958,BL,4.0,1,Inter,Lo,SCOAN
C959,FL,-5.0,10,Inter,Mu,SLUAN
C96,BR,12.0,0,Bo,Mu,SCOAN
C960,FL,0.0,-6,Lo,Inter,SCOAN
C961,BL,1.0,2,Lin,Lo,SCUAN
C962,BL,-4.0,-1,Mu,Mu,RLOEI
C963,FL,4.0,2,Na,Inter,SCUEI
C964,FL,-2.0,2,Mu,Vi,SLUAN
C965,FL,-1.0,0,Lo,Vi,SLOAI
C966,FL,-2.0,1,Bo,Mu,SLOAN
C967,FL,-5.0,-5,Inter,Mu,SCOAN
C968,BL,2.0,1,Lin,Intra,SCOAN
C969,FL,4.0,5,Inter,Lin,SLUAN
C97,FR,-6.0,-1,Na,Intra,RCOEN
C970,BR,-1.0,-8,Inter,Mu,SCOAI
C971,BL,6.0,-2,Lin,Intra,SLOAN
C972,BL,7.0,5,Inter,Vi,SCUAN
C973,FR,-9.0,-1,Lo,Vi,RCOAN
C974,FL,-3.0,-1,Vi,Vi,SLOAI
C975,FL,-9.0,-1,Lin,Lin,SCOEI
C976,BL,1.0,3,Mu,Lin,RCOAN
C977,FL,3.0,1,Bo,Lin,SLUEN
C978,BL,-3.0,4,Mu,Inter,SCUAN
C979,FL,-2.0,10,Inter,Lo,SLUEI
C98,BR,7.0,-4,Intra,Lin,SCOAN
C980,FL,-7.0,-1,Bo,Mu,SCUEI
C981,FL,-2.0,-3,Mu,Lo,SCOAI
C982,BL,-3.0,0,Lin,Intra,SLUEI
C983,FL,-2.0,-6,Lin,Intra,RCOEI
C984,FL,2.0,-1,Mu,Lin,RLUEI
C985,FL,3.0,-3,Lo,Bo,SLOAI
C986,BR,-4.0,5,Intra,Lo,RCUEN
C987,FL,-7.0,-2,Mu,Vi,SLUAN
C988,FL,3.0,2,Mu,Intra,SLOAN
C989,BL,-1.0,2,Lo,Vi,SCOEN
C99,BR,-4.0,-1,Inter,Lo,SLOAN
C990,FL,-2.0,1,Bo,Vi,SCOAI
C991,FL,6.0,-8,Intra,Lo,RLOAN
C992,BL,-2.0,7,Lo,Lo,SLOAN
C993,BR,-1.0,2,Lin,Lin,SCOEN
C994,FL,-1.0,10,Inter,Intra,SLUAN
C995,FL,2.0,0,Lin,Vi,SLUAN
C996,FL,-9.0,-4,Mu,Intra,RLOAI
C997,BR,-2.0,6,Na,Lo,RCOAN
C998,FL,-8.0,-1,Vi,Intra,SLUEN
C999,BR,0.0,-1,Na,Mu,RLOAI
C1145,BL,2.0,-2,Inter,Lin,SCUEN
