CID,BD,LSI,MI,PERSONALITY
C210,PBD,AE,M2,P7
C211,BPBD,AE,M2,P3
C212,DB,AE,M1,P8
C213,WBD,AE,M2,P3
C214,BPBD,CE,M3,P7
C215,FBD,AC,M2,P4
C216,DR,CE,M3,P1
C217,BPBD,CE,M4,P1
C218,T2,AE,M3,P7
C219,PBD,AE,M3,P3
C22,PBD,AE,M3,P3
C220,WBD,CE,M1,P3
C221,BPBD,AC,M2,P7
C222,BPBD,CE,M3,P10
C223,BPBD,AE,M4,P14
C224,BR,CE,M3,P9
C225,BPBD,AE,M2,P9
C226,PBD,AE,M3,P3
C227,WBD,AE,M2,P4
C228,BR,AE,M2,P9
C229,BPBD,RO,M2,P5
C23,PBD,AE,M6,P4
C230,DF,CE,M2,P12
C231,WBD,AE,M2,P13
C232,T1,AE,M2,P3
C233,BR,AE,M3,P7
C234,PBD,CE,M4,P3
C235,WBD,AE,M1,P1
C236,FBD,AE,M1,P3
C237,T2,AE,M2,P4
C238,PBD,AE,M2,P1
C239,PBD,RO,M3,P13
C24,BPBD,AE,M3,P9
C240,PBD,AC,M3,P7
C241,DB,AE,M3,P1
C242,BL,AE,M2,P13
C243,T1,CE,M1,P4
C244,T1,AE,M1,P4
C245,BR,AE,M2,P3
C246,BPBD,AC,M3,P3
C247,PBD,CE,M3,P6
C248,DB,CE,M2,P7
C249,T1,AE,M1,P9
C25,T3,AE,M3,P1
C250,BPBD,AC,M2,P14
C251,BPBD,AE,M3,P7
C252,DB,AE,M2,P3
C253,T2,AE,M2,P6
C254,BR,AE,M2,P4
C255,T1,CE,M2,P2
C256,PBD,CE,M2,P9
C257,DB,AE,M2,P9
C258,BPBD,AE,M2,P7
C259,T1,AE,M3,P1
C26,PBD,AE,M2,P12
C260,DL,AE,M3,P3
C261,T1,AE,M2,P1
C262,BPBD,AC,M3,P5
C263,PBD,CE,M3,P13
C264,BR,AE,M4,P3
C265,WBD,AE,M1,P1
C266,BPBD,AE,M2,P9
C267,DB,CE,M3,P3
C268,T1,AE,M1,P1
C269,BR,AE,M3,P3
C27,PBD,CE,M2,P7
C270,PBD,AE,M3,P1
C271,BPBD,AE,M3,P1
C272,PBD,AE,M3,P6
C273,FR,AE,M2,P14
C274,BPBD,AE,M2,P3
C275,T1,AE,M2,P1
C276,PBD,AE,M2,P1
C277,T1,AE,M2,P6
C278,BPBD,CE,M2,P6
C279,BPBD,CE,M2,P4
C28,T1,CE,M4,P4
C280,DL,AE,M3,P3
C281,BPBD,CE,M2,P6
C282,BR,AE,M3,P1
C283,WBD,AE,M2,P7
C284,PBD,CE,M3,P3
C285,WBD,AE,M2,P1
C286,PBD,CE,M2,P14
C287,T1,AE,M2,P5
C288,PBD,AE,M2,P13
C289,PBD,AE,M3,P3
C29,T1,CE,M2,P9
C290,BPBD,AE,M3,P7
C291,BPBD,AE,M2,P9
C292,DB,AE,M2,P3
C293,BPBD,CE,M2,P13
C294,BR,AE,M2,P9
C295,BR,AE,M3,P10
C296,PBD,CE,M4,P9
C297,PBD,AE,M2,P1
C298,T2,AE,M1,P7
C299,T1,AE,M3,P3
C3,FBD,AE,M3,P1
C30,BR,AE,M2,P7
C300,FL,CE,M3,P9
C301,BR,AE,M2,P1
C302,BPBD,AE,M1,P1
C303,BPBD,AE,M4,P9
C304,BL,CE,M3,P1
C305,PBD,AC,M4,P14
C306,T1,CE,M4,P1
C307,WBD,CE,M1,P1
C308,BL,AE,M3,P1
C309,WBD,CE,M2,P1
C31,T2,CE,M1,P14
C310,T1,CE,M1,P9
C311,PBD,AE,M1,P1
C312,T2,AE,M3,P1
C313,PBD,AE,M2,P3
C314,BPBD,AE,M2,P13
C315,BPBD,CE,M2,P9
C316,T1,AE,M2,P1
C317,PBD,AE,M4,P2
C318,PBD,AE,M2,P9
C319,BPBD,AE,M2,P4
C32,WBD,CE,M2,P3
C320,DR,AE,M2,P1
C321,BPBD,CE,M3,P6
C322,DB,AE,M1,P2
C323,PBD,AE,M2,P3
C324,DR,AE,M1,P3
C325,PBD,CE,M3,P3
C326,DR,AC,M2,P13
C327,BPBD,CE,M2,P5
C328,BPBD,AE,M2,P3
C329,BL,RO,M3,P14
C33,FBD,CE,M4,P7
C330,T1,CE,M2,P3
C331,BPBD,AE,M2,P4
C332,T1,CE,M2,P6
C333,BPBD,AE,M4,P8
C334,WBD,AE,M5,P1
C335,DB,AE,M2,P13
C336,BPBD,AE,M2,P14
C337,BPBD,CE,M1,P7
C338,T1,AE,M1,P1
C339,FBD,AE,M3,P3
C34,DB,AE,M2,P3
C340,PBD,CE,M6,P1
C341,DB,AE,M3,P3
C342,WBD,CE,M1,P9
C343,T2,AE,M2,P1
C344,BPBD,CE,M3,P13
C345,DR,AE,M2,P1
C346,DB,CE,M2,P1
C347,WBD,AE,M2,P8
C348,FR,AE,M2,P14
C349,WBD,AC,M1,P1
C35,BR,AE,M4,P1
C350,BPBD,CE,M3,P1
C351,BPBD,RO,M3,P1
C352,T1,AC,M2,P8
C353,FBD,CE,M2,P3
C354,T1,CE,M2,P6
C355,DR,AC,M2,P13
C356,T1,RO,M1,P14
C357,PBD,AE,M3,P5
C358,BR,RO,M2,P7
C359,T1,CE,M1,P1
C36,BR,AE,M3,P11
C360,T1,CE,M2,P3
C361,WBD,AE,M3,P13
C362,T1,AC,M3,P7
C363,FBD,RO,M2,P4
C364,BPBD,AE,M2,P1
C365,BPBD,AE,M3,P14
C366,BR,AE,M3,P14
C367,BR,AE,M2,P6
C368,BPBD,AE,M3,P9
C369,BPBD,AE,M2,P5
C37,BR,RO,M3,P1
C370,DB,AE,M2,P3
C371,BPBD,RO,M3,P10
C372,DB,RO,M4,P14
C373,DB,AE,M2,P9
C374,T2,AE,M3,P1
C375,BR,AE,M6,P7
C376,DB,RO,M3,P9
C377,DL,CE,M4,P5
C378,T2,AE,M2,P13
C379,PBD,AC,M2,P3
C38,FBD,RO,M3,P3
C380,BPBD,CE,M2,P5
C381,BL,RO,M2,P3
C382,BPBD,AE,M3,P5
C383,PBD,CE,M6,P13
C384,T2,AE,M3,P10
C385,BPBD,RO,M4,P8
C386,BPBD,AE,M2,P3
C387,DL,AE,M2,P3
C388,BPBD,AE,M3,P1
C389,PBD,AE,M2,P13
C39,FR,AE,M2,P10
C390,BPBD,AE,M2,P3
C391,PBD,AE,M3,P13
C392,DR,AE,M2,P7
C393,BPBD,CE,M4,P1
C394,BPBD,AE,M2,P3
C395,BPBD,AE,M2,P3
C396,BPBD,AE,M4,P5
C397,PBD,AE,M3,P5
C398,PBD,AE,M3,P6
C399,T1,AE,M2,P1
C4,DB,CE,M2,P8
C40,BPBD,AE,M3,P3
C400,BPBD,CE,M2,P3
C401,BPBD,RO,M2,P7
C402,DR,RO,M3,P7
C403,BL,AC,M4,P5
C404,T1,AC,M2,P9
C405,T1,AE,M2,P11
C406,BL,RO,M2,P4
C407,WBD,AE,M3,P1
C408,DB,CE,M3,P8
C409,PBD,CE,M5,P14
C41,DB,AE,M2,P13
C410,PBD,CE,M3,P11
C411,BPBD,AE,M2,P14
C412,BPBD,AE,M2,P14
C413,BR,CE,M4,P14
C414,BPBD,AE,M3,P13
C415,WBD,AE,M6,P14
C416,DR,AE,M4,P14
C417,BPBD,RO,M3,P14
C418,T2,CE,M2,P14
C419,T1,RO,M3,P6
C42,DB,AE,M6,P1
C420,DB,RO,M3,P3
C421,T1,CE,M1,P1
C422,T1,AE,M2,P3
C423,BPBD,CE,M3,P3
C424,T1,AE,M3,P6
C425,DB,RO,M3,P3
C426,T1,CE,M1,P1
C427,T1,CE,M2,P3
C428,FBD,CE,M4,P7
C429,BPBD,CE,M4,P14
C43,BPBD,CE,M3,P1
C430,BL,CE,M4,P14
C431,BPBD,AE,M2,P13
C432,FBD,AE,M2,P3
C433,WBD,AE,M2,P3
C434,FBD,CE,M6,P3
C435,DR,AE,M4,P4
C436,WBD,CE,M2,P3
C437,BPBD,RO,M3,P10
C438,WBD,AE,M2,P9
C439,T2,AE,M4,P3
C44,BL,AE,M3,P14
C440,DL,CE,M4,P14
C441,BPBD,CE,M3,P5
C442,T2,AE,M2,P1
C443,BPBD,RO,M2,P4
C444,WBD,AC,M3,P4
C445,BR,AC,M3,P8
C446,BR,AE,M2,P14
