BD DIFF,LSI DIFF,MI DIFF,B5 DIFF,PERFORMANCE,CID
10,4,-4,-20,  GOOD,C161
7,-1,21,-13,  GOOD,C162
-2,-3,-10,-12,  GOOD,C163
-1,1,-19,11,  GOOD,C164
10,0,18,-14,  GOOD,C165
7,1,-10,9,  GOOD,C166
7,8,8,-17,  GOOD,C167
3,4,-21,-19,  GOOD,C168
7,7,19,-4,  GOOD,C169
-13,0,-14,-32,Excellent,C17
10,0,26,-35,Excellent,C170
12,0,-22,4,Excellent,C171
3,0,-26,4,Excellent,C172
22,-5,20,-20,Excellent,C173
3,-3,-27,-3,Excellent,C174
5,-3,2,-28,Excellent,C175
4,5,-28,9,Excellent,C176
15,-1,11,-9,Excellent,C177
-3,2,-18,-9,  POOR,C178
-14,2,-53,2,  POOR,C179
7,1,11,5,  POOR,C18
8,-1,21,6,  ,C180
13,-14,25,16,  GOOD,C181
3,-2,23,-7,Excellent,C182
27,2,20,6,  AVERAGE,C183
16,3,47,-21,  POOR,C184
22,-2,21,-5,  POOR,C185
-8,-2,-48,2,  POOR,C186
6,-2,-5,2,Excellent,C187
-3,0,-12,9,Excellent,C188
7,-5,-35,-24,Excellent,C189
17,-1,3,-3,Excellent,C19
4,0,-19,8,Excellent,C190
7,0,-8,-16,Excellent,C191
-12,1,18,10,  AVERAGE,C192
-9,-1,-50,12,  ,C193
6,3,-47,-3,  AVERAGE,C194
18,6,-13,8,  GOOD,C195
12,-1,-63,-4,  GOOD,C196
6,0,-14,6,  GOOD,C197
-12,-1,13,15,  GOOD,C198
-2,2,-20,8,Excellent,C199
25,2,62,-21,Excellent,C2
23,0,51,-21,Excellent,C20
18,1,-10,-3,  POOR,C200
-10,0,-5,19,  POOR,C201
0,1,-23,-25,  ,C202
9,0,26,5,  GOOD,C203
11,0,21,-22,Excellent,C204
1,0,4,21,Excellent,C205
5,0,-15,4,Excellent,C206
7,0,-14,2,Excellent,C207
0,0,-20,16,Excellent,C208
0,0,-1,-2,Excellent,C209
13,-2,10,9,Excellent,C21
-6,0,4,8,Excellent,C210
13,0,5,-12,Excellent,C211
19,0,48,1,Excellent,C212
24,0,30,-21,  POOR,C213
10,0,-9,-17,Excellent,C214
12,0,4,-5,  ,C215
15,0,-11,-7,  GOOD,C216
6,0,5,-29,Excellent,C217
12,0,-2,-15,  GOOD,C218
-10,0,-41,-8,  GOOD,C219
1,3,-7,-18,  POOR,C22
25,0,44,-1,  POOR,C220
12,0,10,-3,  GOOD,C221
8,0,24,1,Excellent,C222
-7,0,-50,13,  GOOD,C223
13,0,1,-11,  GOOD,C224
9,0,9,-11,  GOOD,C225
-8,0,-19,-4,  POOR,C226
22,0,21,-5,  POOR,C227
4,0,7,1,  POOR,C228
3,0,8,0,  POOR,C229
-13,4,-70,0,  AVERAGE,C23
14,0,16,16,  GOOD,C230
30,0,12,13,  GOOD,C231
19,0,15,-5,  GOOD,C232
8,0,-9,-11,Excellent,C233
-14,0,-22,-14,  POOR,C234
25,0,41,-22,  AVERAGE,C235
12,0,36,-8,  GOOD,C236
24,0,15,-5,  GOOD,C237
1,0,26,-16,Excellent,C238
-3,0,4,10,Excellent,C239
12,-2,17,-3,  POOR,C24
4,0,10,1,  POOR,C240
10,0,-11,-20,  POOR,C241
9,0,14,-4,  POOR,C242
23,0,47,-2,  AVERAGE,C243
20,0,52,-7,  AVERAGE,C244
7,0,5,-10,  GOOD,C245
2,0,-4,-20,  GOOD,C246
-3,0,-12,-5,  AVERAGE,C247
9,0,28,-15,  POOR,C248
15,0,35,-7,  POOR,C249
16,6,-1,-43,  POOR,C25
9,0,6,17,  POOR,C250
5,0,-3,-6,  POOR,C251
17,0,43,-11,Excellent,C252
23,0,23,-15,Excellent,C253
7,0,24,-4,Excellent,C254
15,0,22,-5,Excellent,C255
-4,0,7,1,  GOOD,C256
17,0,29,6,  GOOD,C257
5,0,3,7,  GOOD,C258
14,0,4,-23,  AVERAGE,C259
-2,3,-12,18,  POOR,C26
15,0,10,-7,  POOR,C260
19,0,26,-15,  POOR,C261
-1,0,-17,2,  POOR,C262
-3,0,-24,10,  POOR,C263
4,0,-29,1,  POOR,C264
26,0,57,-16,  POOR,C265
8,0,32,11,  POOR,C266
13,0,6,-11,  POOR,C267
14,0,27,-16,  POOR,C268
4,0,-9,-3,  GOOD,C269
2,-3,17,-3,  GOOD,C27
-8,0,-23,-19,Excellent,C270
